type,type_encoded,severity,affected_radius_km,hour,impacted_shipments,delay_min
vehicle_issue,3,4.19,4.8,4.0,4,17
vehicle_issue,3,3.06,103.7,13.0,11,43
congestion,1,3.04,109.0,11.0,42,108
blockage,2,2.01,67.64,18.0,14,112
vehicle_issue,3,2.86,85.52,3.0,9,38
blockage,2,2.92,93.15,4.0,20,161
congestion,1,7.64,84.94,5.0,51,140
congestion,1,2.9,57.66,22.0,27,72
blockage,2,1.91,102.68,21.0,19,152
congestion,1,8.08,66.33,0.0,43,123
vehicle_issue,3,5.91,29.77,10.0,7,34
vehicle_issue,3,3.12,1.0,13.0,3,12
weather,0,7.96,45.65,21.0,32,90
blockage,2,3.02,10.68,11.0,7,61
congestion,1,8.0,7.42,18.0,35,108
blockage,2,1.1,54.95,19.0,11,84
congestion,1,6.18,111.44,12.0,52,139
congestion,1,5.85,15.56,17.0,29,88
congestion,1,4.26,33.97,1.0,22,63
weather,0,6.87,97.11,7.0,57,151
vehicle_issue,3,3.97,47.75,20.0,7,31
weather,0,6.92,93.67,3.0,42,111
congestion,1,3.23,65.95,12.0,29,76
weather,0,5.84,70.8,19.0,45,119
weather,0,8.11,19.23,12.0,26,76
congestion,1,9.67,42.74,23.0,43,127
vehicle_issue,3,4.12,76.42,20.0,9,38
vehicle_issue,3,4.97,4.05,2.0,4,21
congestion,1,4.94,25.47,12.0,22,65
blockage,2,8.9,47.39,17.0,22,245
vehicle_issue,3,9.99,77.86,17.0,15,64
weather,0,6.95,62.4,12.0,34,93
vehicle_issue,3,8.78,86.23,9.0,14,62
weather,0,1.0,86.74,7.0,33,79
weather,0,8.12,5.29,8.0,29,87
congestion,1,8.94,107.93,0.0,59,164
weather,0,7.88,99.4,20.0,47,123
vehicle_issue,3,6.01,32.51,17.0,7,34
vehicle_issue,3,9.07,57.86,6.0,12,54
congestion,1,7.1,39.36,3.0,32,94
vehicle_issue,3,9.05,109.07,12.0,16,69
vehicle_issue,3,2.18,47.21,20.0,5,22
vehicle_issue,3,7.01,47.23,23.0,9,42
vehicle_issue,3,4.96,111.1,6.0,13,53
blockage,2,9.13,72.81,10.0,26,276
weather,0,8.89,16.89,14.0,28,82
vehicle_issue,3,8.94,77.4,14.0,13,59
blockage,2,2.76,94.99,6.0,20,163
vehicle_issue,3,5.27,41.47,19.0,7,32
vehicle_issue,3,1.31,61.9,16.0,6,23
weather,0,9.97,74.66,19.0,59,163
congestion,1,3.11,62.86,2.0,28,73
weather,0,7.1,119.82,16.0,49,128
weather,0,5.03,61.44,8.0,38,100
vehicle_issue,3,10.0,77.47,18.0,14,63
vehicle_issue,3,8.81,95.33,12.0,15,65
vehicle_issue,3,7.97,16.49,12.0,8,37
vehicle_issue,3,6.69,5.49,14.0,6,30
blockage,2,1.85,116.36,5.0,22,172
blockage,2,9.76,87.66,13.0,30,316
vehicle_issue,3,1.0,48.49,21.0,5,18
blockage,2,4.93,3.74,1.0,8,84
blockage,2,4.05,22.78,4.0,10,89
weather,0,3.9,3.24,0.0,11,33
blockage,2,9.92,46.87,11.0,24,268
vehicle_issue,3,2.89,66.0,5.0,8,32
blockage,2,6.02,21.5,14.0,13,120
congestion,1,2.91,78.09,0.0,32,84
weather,0,9.85,116.16,2.0,56,149
weather,0,8.14,118.89,5.0,52,135
blockage,2,4.87,99.71,15.0,24,200
blockage,2,1.0,54.31,1.0,10,81
vehicle_issue,3,2.11,64.04,12.0,7,28
vehicle_issue,3,2.75,60.6,12.0,7,30
congestion,1,5.18,22.44,7.0,27,81
vehicle_issue,3,8.85,102.2,2.0,15,67
blockage,2,2.01,81.38,17.0,16,130
congestion,1,5.85,76.6,9.0,53,147
vehicle_issue,3,4.0,29.45,14.0,5,24
weather,0,1.0,17.42,18.0,10,25
blockage,2,6.85,105.91,0.0,28,238
vehicle_issue,3,7.76,21.8,18.0,8,39
blockage,2,9.92,8.83,2.0,18,222
vehicle_issue,3,6.07,72.89,13.0,11,47
weather,0,4.1,87.37,2.0,32,83
blockage,2,8.89,16.29,0.0,17,207
vehicle_issue,3,2.89,23.61,9.0,4,20
blockage,2,6.97,93.01,12.0,26,226
vehicle_issue,3,10.0,110.63,7.0,17,73
congestion,1,1.0,58.45,6.0,20,51
blockage,2,9.93,95.01,4.0,31,324
congestion,1,2.95,37.63,13.0,21,57
vehicle_issue,3,4.96,84.58,9.0,11,45
weather,0,2.64,69.2,21.0,25,64
congestion,1,1.94,102.19,10.0,36,92
weather,0,8.12,90.59,14.0,45,120
blockage,2,5.21,33.22,22.0,14,122
weather,0,6.18,18.6,22.0,20,59
congestion,1,5.01,97.3,11.0,44,118
vehicle_issue,3,7.82,6.86,5.0,7,33
congestion,1,9.92,81.78,9.0,71,201
weather,0,5.89,58.41,6.0,31,83
weather,0,1.79,6.72,11.0,8,22
weather,0,3.86,82.3,3.0,32,82
vehicle_issue,3,4.89,59.55,9.0,9,38
blockage,2,1.79,106.23,1.0,20,156
vehicle_issue,3,3.14,23.79,23.0,4,20
weather,0,3.09,1.04,0.0,8,25
congestion,1,9.99,13.86,21.0,35,108
weather,0,5.06,32.79,22.0,22,60
congestion,1,9.05,80.16,23.0,51,143
blockage,2,5.89,45.58,10.0,17,149
vehicle_issue,3,6.27,15.03,18.0,6,29
congestion,1,9.88,117.41,22.0,65,181
vehicle_issue,3,6.75,17.8,20.0,7,32
blockage,2,3.02,42.97,20.0,12,100
congestion,1,3.08,104.47,11.0,41,105
vehicle_issue,3,6.95,77.85,17.0,12,52
congestion,1,1.19,36.9,5.0,15,38
weather,0,2.03,117.16,22.0,35,86
vehicle_issue,3,1.0,61.57,11.0,6,22
vehicle_issue,3,7.91,2.92,6.0,7,33
weather,0,5.02,2.86,7.0,17,53
vehicle_issue,3,1.01,112.1,20.0,10,38
vehicle_issue,3,8.18,34.25,4.0,9,42
vehicle_issue,3,7.13,99.33,16.0,13,57
congestion,1,7.76,5.49,6.0,26,81
blockage,2,1.97,17.66,14.0,6,54
blockage,2,8.81,104.49,12.0,31,313
blockage,2,2.22,118.1,14.0,22,175
blockage,2,5.85,5.48,5.0,11,105
blockage,2,6.03,19.32,21.0,13,121
blockage,2,2.9,91.05,21.0,19,152
blockage,2,3.7,65.51,22.0,17,141
blockage,2,1.0,50.23,11.0,9,75
weather,0,4.96,22.69,4.0,19,54
weather,0,7.09,114.25,13.0,48,124
vehicle_issue,3,4.08,24.04,1.0,5,22
vehicle_issue,3,5.8,33.14,16.0,7,34
blockage,2,10.0,37.94,6.0,22,258
weather,0,3.14,18.3,4.0,12,34
vehicle_issue,3,3.08,64.56,19.0,8,31
weather,0,1.95,41.81,15.0,16,41
congestion,1,6.01,71.85,2.0,40,110
congestion,1,3.02,43.66,20.0,22,61
weather,0,9.21,14.19,15.0,27,81
vehicle_issue,3,3.26,103.63,6.0,11,43
blockage,2,7.1,61.51,9.0,21,186
congestion,1,2.01,38.27,10.0,18,47
blockage,2,4.0,5.36,21.0,7,67
weather,0,2.01,72.84,13.0,24,59
congestion,1,6.03,95.24,19.0,60,163
blockage,2,1.0,78.19,0.0,14,110
congestion,1,1.3,91.69,12.0,31,78
vehicle_issue,3,5.88,20.66,2.0,6,30
weather,0,6.19,116.44,9.0,60,153
weather,0,3.67,26.72,13.0,17,48
blockage,2,4.96,32.59,20.0,13,119
vehicle_issue,3,4.95,58.66,6.0,9,39
congestion,1,8.03,1.0,5.0,24,78
weather,0,4.95,52.46,20.0,27,72
vehicle_issue,3,9.21,24.61,13.0,9,43
congestion,1,2.96,90.79,17.0,47,122
weather,0,1.85,94.43,22.0,29,71
blockage,2,4.86,75.0,1.0,20,169
congestion,1,1.0,50.36,14.0,18,46
vehicle_issue,3,7.11,37.27,1.0,9,39
congestion,1,4.14,100.27,22.0,42,110
blockage,2,3.82,62.57,10.0,16,138
blockage,2,5.88,58.23,10.0,19,168
weather,0,1.0,14.13,4.0,6,17
congestion,1,3.96,26.77,15.0,20,58
weather,0,10.0,41.48,13.0,37,106
blockage,2,7.03,85.28,22.0,25,213
vehicle_issue,3,6.08,101.94,0.0,13,54
vehicle_issue,3,6.11,118.91,17.0,14,60
congestion,1,4.91,52.27,22.0,31,85
congestion,1,9.81,55.88,21.0,46,136
blockage,2,9.91,95.1,14.0,31,321
blockage,2,5.12,40.18,19.0,14,127
vehicle_issue,3,10.0,63.58,1.0,13,60
weather,0,1.01,85.83,1.0,24,57
weather,0,4.14,27.42,16.0,18,49
congestion,1,4.02,34.88,6.0,22,63
congestion,1,6.95,43.09,17.0,44,128
congestion,1,6.76,69.52,17.0,54,153
vehicle_issue,3,5.19,33.77,16.0,7,30
weather,0,2.99,26.48,21.0,15,39
vehicle_issue,3,5.93,20.87,5.0,6,30
blockage,2,2.98,96.31,19.0,20,165
blockage,2,5.22,107.0,19.0,25,208
blockage,2,4.15,109.61,7.0,24,194
weather,0,8.95,102.33,4.0,49,131
blockage,2,8.07,18.05,14.0,16,189
weather,0,2.18,10.87,21.0,8,24
blockage,2,10.0,62.46,15.0,26,282
blockage,2,7.02,62.34,2.0,21,188
blockage,2,3.69,86.91,10.0,21,170
congestion,1,6.19,29.49,9.0,34,101
congestion,1,1.85,112.0,14.0,40,100
congestion,1,1.0,37.6,14.0,14,37
weather,0,4.73,72.33,23.0,31,82
blockage,2,7.87,103.03,20.0,29,293
weather,0,4.07,62.52,13.0,27,70
congestion,1,4.17,91.44,3.0,39,104
blockage,2,10.0,86.71,4.0,30,318
weather,0,10.0,95.24,4.0,51,137
vehicle_issue,3,4.94,97.62,12.0,12,49
congestion,1,1.0,46.42,3.0,17,44
weather,0,6.72,44.27,4.0,30,83
blockage,2,7.91,96.99,3.0,28,284
blockage,2,9.69,69.94,16.0,27,294
blockage,2,9.8,74.52,6.0,28,298
vehicle_issue,3,7.09,50.4,21.0,10,43
congestion,1,1.75,24.75,11.0,14,37
vehicle_issue,3,2.76,56.45,16.0,7,29
congestion,1,7.74,116.8,12.0,59,161
blockage,2,7.12,40.1,21.0,17,155
weather,0,5.25,34.93,3.0,22,60
blockage,2,4.99,15.81,17.0,11,100
congestion,1,8.14,55.72,13.0,41,119
blockage,2,4.83,34.28,10.0,14,122
vehicle_issue,3,2.18,79.74,16.0,8,33
vehicle_issue,3,9.89,18.1,12.0,9,45
vehicle_issue,3,4.1,29.96,15.0,6,25
weather,0,3.0,7.25,12.0,10,29
weather,0,1.0,6.8,2.0,4,12
vehicle_issue,3,4.87,97.35,9.0,12,49
congestion,1,10.0,109.39,23.0,63,174
weather,0,1.72,91.5,2.0,29,71
congestion,1,3.04,104.12,5.0,40,104
vehicle_issue,3,1.79,13.24,16.0,3,11
congestion,1,1.08,109.27,3.0,35,87
weather,0,6.8,58.65,1.0,33,90
blockage,2,3.07,93.02,18.0,20,159
weather,0,8.12,71.59,4.0,40,109
congestion,1,4.97,41.57,5.0,28,79
weather,0,6.99,30.08,10.0,27,76
blockage,2,1.22,16.48,20.0,4,34
congestion,1,3.88,50.12,23.0,27,74
vehicle_issue,3,4.92,61.69,6.0,9,38
congestion,1,1.1,119.56,7.0,50,123
weather,0,5.06,5.21,12.0,14,43
weather,0,4.96,73.82,19.0,41,108
weather,0,4.82,64.94,1.0,30,78
congestion,1,6.15,3.82,10.0,19,60
weather,0,7.81,40.85,2.0,31,88
congestion,1,8.34,53.42,5.0,39,114
vehicle_issue,3,1.0,60.47,15.0,6,22
vehicle_issue,3,6.83,27.8,0.0,8,37
blockage,2,10.0,3.34,20.0,17,216
vehicle_issue,3,9.08,35.6,2.0,10,47
vehicle_issue,3,3.85,99.48,19.0,11,46
blockage,2,8.25,97.41,10.0,28,285
vehicle_issue,3,9.05,21.73,13.0,9,43
weather,0,3.96,77.32,9.0,40,102
vehicle_issue,3,9.06,112.72,8.0,16,69
congestion,1,7.18,23.98,15.0,27,83
blockage,2,8.24,15.13,7.0,15,188
vehicle_issue,3,8.03,3.06,1.0,7,33
congestion,1,7.81,21.16,0.0,30,92
weather,0,9.81,98.37,6.0,51,139
congestion,1,8.79,98.42,5.0,56,157
congestion,1,4.9,64.54,0.0,35,95
vehicle_issue,3,6.01,41.46,2.0,8,36
vehicle_issue,3,7.03,96.31,20.0,13,57
blockage,2,9.17,23.64,11.0,18,218
vehicle_issue,3,3.69,16.24,9.0,5,21
congestion,1,4.0,13.15,22.0,15,47
congestion,1,8.07,103.66,14.0,55,150
vehicle_issue,3,9.58,86.62,3.0,15,66
blockage,2,10.0,76.29,17.0,28,300
blockage,2,2.41,89.26,17.0,17,137
congestion,1,10.0,19.23,6.0,35,109
blockage,2,8.05,47.89,16.0,20,224
vehicle_issue,3,1.96,97.26,3.0,9,37
congestion,1,1.03,107.85,23.0,36,89
weather,0,3.23,60.91,13.0,24,61
weather,0,9.95,18.79,6.0,30,89
weather,0,8.18,117.04,21.0,51,134
congestion,1,6.07,50.4,12.0,32,92
blockage,2,7.24,39.81,21.0,17,159
vehicle_issue,3,5.16,15.26,2.0,5,25
weather,0,10.0,1.15,7.0,35,106
vehicle_issue,3,2.02,71.75,10.0,7,30
blockage,2,3.95,73.7,6.0,18,153
weather,0,3.15,28.7,12.0,15,41
congestion,1,8.91,21.12,8.0,43,131
congestion,1,6.02,62.78,21.0,37,104
vehicle_issue,3,6.97,51.84,5.0,10,44
vehicle_issue,3,9.8,38.41,4.0,11,51
vehicle_issue,3,2.03,29.85,23.0,4,16
blockage,2,9.77,103.43,17.0,33,334
congestion,1,1.93,118.77,0.0,41,104
congestion,1,8.1,43.08,20.0,37,108
vehicle_issue,3,8.03,84.0,4.0,13,57
weather,0,9.02,103.68,16.0,50,134
congestion,1,1.87,3.68,0.0,7,22
weather,0,10.0,109.93,6.0,54,145
congestion,1,7.87,61.33,20.0,42,120
congestion,1,2.11,66.93,0.0,26,68
weather,0,6.19,64.34,11.0,33,87
congestion,1,8.77,29.18,9.0,47,140
vehicle_issue,3,4.94,95.08,5.0,12,48
blockage,2,3.93,86.9,2.0,20,170
vehicle_issue,3,3.04,10.87,9.0,3,16
vehicle_issue,3,5.86,68.42,8.0,10,44
vehicle_issue,3,9.83,114.8,2.0,17,74
congestion,1,6.99,104.49,17.0,68,185
vehicle_issue,3,7.92,76.75,2.0,12,55
vehicle_issue,3,7.98,24.52,9.0,8,39
vehicle_issue,3,8.13,41.32,22.0,10,45
congestion,1,4.76,19.16,8.0,27,80
weather,0,7.98,97.82,16.0,46,123
blockage,2,3.91,95.03,11.0,21,176
vehicle_issue,3,6.0,109.33,15.0,14,57
vehicle_issue,3,3.91,6.96,18.0,4,19
blockage,2,9.82,116.03,11.0,35,349
weather,0,8.06,114.81,15.0,51,134
congestion,1,6.42,82.84,11.0,42,116
blockage,2,4.98,105.75,7.0,25,207
blockage,2,5.89,54.14,18.0,18,160
congestion,1,7.89,37.37,9.0,46,136
congestion,1,3.14,19.11,1.0,15,43
weather,0,8.87,5.42,6.0,25,75
congestion,1,3.19,5.76,16.0,11,33
blockage,2,1.75,81.96,15.0,17,132
weather,0,8.03,42.18,13.0,31,89
vehicle_issue,3,8.1,7.82,10.0,7,34
weather,0,4.11,12.79,7.0,18,53
blockage,2,7.1,79.66,1.0,24,208
congestion,1,8.04,111.47,5.0,58,158
vehicle_issue,3,8.17,48.77,23.0,10,47
vehicle_issue,3,9.85,92.82,20.0,15,68
blockage,2,8.9,116.54,1.0,33,329
blockage,2,4.94,83.17,22.0,22,182
blockage,2,3.22,86.38,18.0,19,152
blockage,2,1.07,75.75,2.0,13,105
weather,0,6.1,119.89,10.0,46,118
congestion,1,6.97,34.99,4.0,32,94
weather,0,7.12,95.82,17.0,55,146
congestion,1,1.0,53.75,16.0,18,46
blockage,2,7.94,19.21,5.0,16,191
weather,0,7.97,89.77,18.0,57,153
weather,0,7.93,101.22,7.0,61,161
vehicle_issue,3,5.95,103.15,11.0,13,55
congestion,1,1.08,112.13,2.0,36,89
weather,0,5.04,89.31,22.0,36,94
blockage,2,7.18,65.24,4.0,21,189
blockage,2,5.69,114.98,20.0,28,231
vehicle_issue,3,6.22,27.79,20.0,7,32
vehicle_issue,3,5.9,9.73,3.0,6,27
vehicle_issue,3,6.2,53.3,2.0,9,40
blockage,2,3.94,69.6,3.0,18,148
congestion,1,7.06,80.19,20.0,46,126
vehicle_issue,3,2.84,97.67,2.0,10,41
congestion,1,4.82,5.43,14.0,16,51
congestion,1,5.09,95.99,21.0,44,117
vehicle_issue,3,7.6,74.58,7.0,12,54
vehicle_issue,3,8.82,114.52,13.0,16,70
congestion,1,7.12,40.79,1.0,34,98
blockage,2,1.94,73.99,22.0,15,121
vehicle_issue,3,6.87,91.24,14.0,13,56
vehicle_issue,3,4.23,64.48,17.0,8,35
weather,0,1.28,20.36,6.0,8,20
blockage,2,2.0,6.81,17.0,4,40
weather,0,10.0,15.42,15.0,30,89
vehicle_issue,3,5.23,58.74,3.0,9,38
weather,0,3.0,75.4,13.0,28,70
vehicle_issue,3,1.92,67.02,2.0,7,29
weather,0,7.01,83.06,16.0,41,107
congestion,1,7.78,4.01,22.0,26,81
weather,0,4.09,18.05,20.0,15,42
vehicle_issue,3,1.95,92.7,11.0,9,35
congestion,1,4.01,92.7,21.0,40,106
blockage,2,7.01,81.59,23.0,25,214
weather,0,1.87,89.09,10.0,29,70
congestion,1,2.99,116.35,7.0,57,146
vehicle_issue,3,1.0,114.65,4.0,10,38
vehicle_issue,3,4.93,78.07,14.0,10,43
weather,0,1.83,37.49,9.0,20,51
congestion,1,1.87,3.79,13.0,7,21
congestion,1,1.66,76.79,22.0,29,74
blockage,2,7.94,53.41,1.0,21,231
blockage,2,5.07,17.16,7.0,11,102
weather,0,10.0,27.37,12.0,33,96
vehicle_issue,3,4.16,113.7,17.0,12,50
weather,0,2.86,6.87,22.0,10,29
congestion,1,2.93,93.78,20.0,37,97
vehicle_issue,3,10.0,106.02,10.0,17,72
blockage,2,5.99,81.68,13.0,23,195
congestion,1,4.03,8.14,11.0,14,44
vehicle_issue,3,7.32,99.53,2.0,14,59
congestion,1,5.96,80.37,16.0,42,114
blockage,2,1.93,35.69,19.0,9,73
weather,0,7.85,75.7,18.0,53,142
weather,0,1.96,16.21,8.0,13,34
congestion,1,2.15,85.13,19.0,41,105
blockage,2,8.09,110.69,5.0,30,298
vehicle_issue,3,5.21,64.04,10.0,9,39
congestion,1,3.05,111.6,6.0,43,111
vehicle_issue,3,1.0,49.72,10.0,5,20
blockage,2,6.09,101.74,22.0,26,220
weather,0,7.02,93.04,11.0,42,112
blockage,2,3.0,8.95,18.0,7,62
blockage,2,5.18,109.29,23.0,26,212
congestion,1,3.96,106.79,3.0,45,117
congestion,1,9.09,42.81,22.0,40,117
congestion,1,7.84,95.73,2.0,53,145
blockage,2,2.77,30.26,14.0,9,81
blockage,2,5.91,4.4,10.0,10,102
congestion,1,9.95,25.17,6.0,38,115
congestion,1,4.08,60.6,15.0,30,81
congestion,1,1.84,8.88,21.0,8,25
congestion,1,3.23,20.06,1.0,15,43
congestion,1,6.86,113.64,4.0,55,149
congestion,1,9.99,62.35,12.0,48,139
blockage,2,4.0,97.8,2.0,22,183
weather,0,1.04,23.38,7.0,12,30
blockage,2,2.07,11.21,9.0,5,46
weather,0,5.34,93.43,10.0,37,96
congestion,1,1.0,44.31,16.0,16,40
vehicle_issue,3,1.05,55.93,11.0,5,21
vehicle_issue,3,6.99,120.0,1.0,15,64
blockage,2,9.15,34.86,15.0,21,235
blockage,2,3.07,56.8,7.0,14,117
weather,0,6.03,78.71,0.0,35,94
congestion,1,5.78,9.98,18.0,28,86
blockage,2,6.93,85.88,10.0,25,216
vehicle_issue,3,9.85,56.06,15.0,12,56
blockage,2,8.93,21.04,15.0,18,215
vehicle_issue,3,3.88,53.37,2.0,7,32
congestion,1,9.92,54.89,19.0,61,177
weather,0,1.0,77.14,4.0,23,54
weather,0,9.94,113.51,17.0,72,192
blockage,2,1.96,90.36,17.0,18,142
blockage,2,1.86,45.28,2.0,11,88
congestion,1,2.01,117.77,2.0,41,103
vehicle_issue,3,1.86,93.92,20.0,9,37
blockage,2,4.91,4.49,0.0,9,85
congestion,1,6.99,16.36,5.0,25,78
weather,0,7.61,27.04,23.0,28,80
blockage,2,1.37,11.31,2.0,3,29
blockage,2,3.08,61.12,14.0,14,119
weather,0,2.05,44.95,8.0,21,53
congestion,1,1.92,117.0,10.0,41,103
congestion,1,8.01,56.66,3.0,41,118
blockage,2,6.82,27.45,14.0,15,143
weather,0,3.07,115.33,8.0,50,122
vehicle_issue,3,3.75,64.17,16.0,8,35
congestion,1,9.81,8.88,18.0,43,134
congestion,1,5.89,9.96,11.0,21,65
weather,0,3.23,79.86,0.0,29,73
vehicle_issue,3,9.83,58.63,15.0,13,58
weather,0,2.05,77.07,11.0,25,61
vehicle_issue,3,2.69,102.61,17.0,11,43
congestion,1,7.0,82.02,18.0,59,164
vehicle_issue,3,6.26,106.68,4.0,13,55
weather,0,1.08,89.58,2.0,26,62
weather,0,8.69,81.27,10.0,45,121
vehicle_issue,3,3.01,15.33,21.0,4,17
vehicle_issue,3,6.93,57.29,7.0,10,46
blockage,2,4.18,51.1,10.0,15,127
weather,0,7.98,64.27,19.0,49,134
vehicle_issue,3,8.78,46.8,19.0,11,50
congestion,1,7.98,74.37,18.0,60,170
vehicle_issue,3,9.9,48.75,22.0,12,54
vehicle_issue,3,5.68,67.36,19.0,10,44
vehicle_issue,3,1.0,50.68,3.0,5,18
blockage,2,6.0,109.25,10.0,27,226
blockage,2,5.06,44.34,18.0,15,134
blockage,2,8.15,88.68,13.0,27,274
weather,0,2.96,74.23,3.0,27,68
congestion,1,6.77,48.99,16.0,35,101
blockage,2,4.87,98.33,4.0,24,197
vehicle_issue,3,7.0,111.5,7.0,15,61
blockage,2,5.18,94.12,23.0,23,190
blockage,2,4.0,114.74,23.0,25,201
weather,0,2.98,53.8,0.0,22,56
congestion,1,8.96,111.95,9.0,78,215
blockage,2,1.0,106.59,7.0,18,142
vehicle_issue,3,3.29,92.02,12.0,10,40
congestion,1,4.99,100.28,19.0,59,156
weather,0,1.96,84.87,19.0,36,89
congestion,1,10.0,59.23,3.0,49,141
weather,0,3.9,66.52,17.0,36,94
blockage,2,2.77,49.87,0.0,13,109
blockage,2,2.74,80.13,12.0,18,144
vehicle_issue,3,1.89,41.13,13.0,5,20
vehicle_issue,3,7.18,87.84,9.0,13,55
weather,0,5.18,58.74,21.0,29,77
weather,0,2.83,41.05,15.0,19,50
congestion,1,8.98,17.02,23.0,33,100
weather,0,7.02,29.69,10.0,26,75
vehicle_issue,3,4.89,77.26,9.0,10,43
weather,0,6.2,47.31,14.0,27,75
weather,0,7.11,5.82,5.0,19,59
vehicle_issue,3,2.05,41.23,19.0,5,20
vehicle_issue,3,9.01,44.93,7.0,11,49
weather,0,2.77,27.04,2.0,15,41
congestion,1,1.2,38.46,11.0,14,35
blockage,2,6.09,84.42,16.0,23,198
blockage,2,9.06,90.96,12.0,29,297
vehicle_issue,3,7.89,111.74,1.0,16,67
congestion,1,3.9,14.97,0.0,17,49
weather,0,4.07,37.84,17.0,26,71
congestion,1,6.17,9.8,23.0,21,65
blockage,2,3.26,71.9,5.0,17,137
blockage,2,8.89,3.3,23.0,15,193
blockage,2,2.98,27.23,11.0,9,78
vehicle_issue,3,2.69,74.05,3.0,8,33
vehicle_issue,3,1.0,46.17,6.0,4,17
congestion,1,7.08,67.7,23.0,41,115
congestion,1,1.0,79.76,7.0,34,85
blockage,2,8.7,103.54,20.0,31,310
congestion,1,9.83,46.41,15.0,44,130
congestion,1,2.05,34.58,19.0,21,57
weather,0,1.06,63.19,10.0,20,47
congestion,1,9.75,10.11,2.0,33,103
blockage,2,2.19,5.63,11.0,4,39
vehicle_issue,3,4.9,54.57,22.0,8,36
vehicle_issue,3,9.04,26.59,23.0,9,44
congestion,1,2.01,1.0,9.0,9,27
weather,0,7.0,78.94,2.0,39,105
weather,0,3.86,99.38,5.0,36,91
congestion,1,5.0,17.59,9.0,27,80
blockage,2,10.0,69.63,23.0,27,292
vehicle_issue,3,6.97,117.86,12.0,15,63
vehicle_issue,3,4.02,30.62,11.0,6,26
weather,0,10.0,85.9,19.0,64,173
blockage,2,5.93,19.29,4.0,13,120
congestion,1,1.1,110.51,6.0,37,90
weather,0,3.97,1.0,17.0,14,42
blockage,2,3.21,36.48,9.0,11,91
weather,0,6.79,117.71,14.0,49,126
congestion,1,9.2,81.14,19.0,67,188
blockage,2,1.0,27.53,17.0,6,47
congestion,1,8.32,96.7,12.0,53,145
blockage,2,10.0,106.51,1.0,33,339
congestion,1,10.0,56.2,20.0,48,138
vehicle_issue,3,6.98,18.58,2.0,7,34
weather,0,4.1,31.93,1.0,19,51
weather,0,2.1,112.41,5.0,35,84
blockage,2,9.98,21.15,6.0,19,234
congestion,1,5.11,36.1,19.0,34,98
blockage,2,3.5,20.67,13.0,9,86
weather,0,7.9,14.78,22.0,24,72
blockage,2,8.0,62.52,2.0,23,244
vehicle_issue,3,9.08,47.05,23.0,11,50
weather,0,9.15,6.27,11.0,25,76
congestion,1,8.96,20.02,14.0,32,100
vehicle_issue,3,1.94,4.9,0.0,2,10
blockage,2,2.13,3.03,17.0,4,37
weather,0,3.17,22.19,12.0,14,37
weather,0,7.11,87.62,17.0,54,143
vehicle_issue,3,5.98,4.41,22.0,5,25
vehicle_issue,3,9.38,38.13,5.0,10,47
congestion,1,9.01,69.56,22.0,47,136
congestion,1,9.03,91.58,11.0,54,151
vehicle_issue,3,1.24,80.51,7.0,7,29
weather,0,7.23,118.62,16.0,49,127
weather,0,9.11,33.66,0.0,32,92
vehicle_issue,3,9.86,3.38,16.0,8,40
weather,0,4.02,4.88,21.0,12,35
vehicle_issue,3,8.08,9.91,5.0,7,36
congestion,1,5.29,116.41,13.0,50,132
vehicle_issue,3,2.44,70.13,18.0,7,29
weather,0,3.91,96.9,13.0,35,90
vehicle_issue,3,3.13,118.06,22.0,12,47
weather,0,9.88,100.93,19.0,68,183
weather,0,1.98,50.01,6.0,18,46
blockage,2,1.87,106.05,9.0,20,158
blockage,2,6.25,52.93,16.0,18,159
vehicle_issue,3,6.04,14.08,10.0,6,28
weather,0,6.04,66.15,9.0,43,114
weather,0,2.01,109.18,20.0,34,82
blockage,2,5.06,95.95,2.0,23,193
vehicle_issue,3,10.0,48.6,11.0,12,55
congestion,1,1.0,101.3,9.0,44,109
vehicle_issue,3,7.75,59.59,17.0,11,49
vehicle_issue,3,1.8,81.41,23.0,8,33
vehicle_issue,3,2.76,39.26,21.0,6,24
blockage,2,9.03,22.39,8.0,18,218
blockage,2,2.88,37.27,9.0,11,94
blockage,2,6.15,106.22,2.0,26,222
blockage,2,4.04,116.43,21.0,25,207
blockage,2,6.72,32.64,7.0,16,151
blockage,2,4.94,19.83,7.0,11,105
congestion,1,4.68,8.28,9.0,23,71
blockage,2,8.83,88.09,22.0,29,298
vehicle_issue,3,5.93,63.73,23.0,10,43
vehicle_issue,3,5.86,64.63,7.0,10,44
blockage,2,9.28,5.98,15.0,15,197
weather,0,5.11,11.11,5.0,16,46
blockage,2,8.95,106.41,11.0,32,321
congestion,1,8.21,70.64,17.0,58,165
weather,0,8.85,24.13,12.0,30,88
weather,0,4.95,28.42,22.0,20,55
blockage,2,6.13,29.41,12.0,14,132
vehicle_issue,3,1.83,7.31,18.0,2,11
blockage,2,2.1,7.21,11.0,4,40
congestion,1,2.04,85.35,17.0,42,106
weather,0,7.09,28.76,19.0,35,98
blockage,2,4.27,48.51,23.0,14,120
weather,0,3.07,64.38,8.0,32,82
vehicle_issue,3,7.02,39.21,13.0,9,40
vehicle_issue,3,3.78,57.75,17.0,8,33
vehicle_issue,3,2.03,102.65,21.0,10,39
congestion,1,5.93,28.32,2.0,27,79
weather,0,5.98,96.29,0.0,40,105
congestion,1,1.93,33.17,2.0,16,43
